Package	Version	Source	Repository	License_Metadata	Usage_Class	Bundled_In_Candidate	Disposition	Notes
cpp11	0.5.5	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
crayon	1.5.3	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
crosstalk	1.2.2	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
curl	7.1.0	Repository	CRAN	MIT + file LICENSE	direct_support	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
data.table	1.18.4	Repository	CRAN	MPL-2.0 | file LICENSE	direct_startup	NO	DRAFT_KEEP_EXTERNAL_FILE_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. File-level copyleft metadata from the retained DESCRIPTION; preserve complete upstream terms and assess source duties before any redistribution.
digest	0.6.39	Repository	CRAN	GPL (>= 2)	optional_or_fallback	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
dplyr	1.2.1	Repository	CRAN	MIT + file LICENSE	direct_startup	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
evaluate	1.0.5	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
farver	2.1.2	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
fastmap	1.2.0	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
fontawesome	0.5.3	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
fs	2.1.0	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
gargle	1.6.1	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
generics	0.1.4	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
ggforce	0.5.0	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
ggplot2	4.0.3	Repository	CRAN	MIT + file LICENSE	direct_startup	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
ggraph	2.2.2	Repository	CRAN	MIT + file LICENSE	optional_or_fallback	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
ggrepel	0.9.8	Repository	CRAN	GPL-3 | file LICENSE	direct_startup	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
glue	1.8.1	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
googledrive	2.1.2	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
googlesheets4	1.1.2	Repository	CRAN	MIT + file LICENSE	direct_startup	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
graphlayouts	1.2.4	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
gridExtra	2.3.1	Repository	CRAN	GPL (>= 2)	optional_or_fallback	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
gt	1.3.0	Repository	CRAN	MIT + file LICENSE	direct_startup	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
gtable	0.3.6	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
highr	0.12	Repository	CRAN	GPL	transitive	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. GPL version is unspecified in DESCRIPTION; inspect the complete upstream license materials before any redistribution.
hms	1.1.4	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
htmltools	0.5.9	Repository	CRAN	GPL (>= 2)	direct_support	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
htmlwidgets	1.6.4	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
httpuv	1.6.17	Repository	CRAN	GPL (>= 2) | file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
httr	1.4.8	Repository	CRAN	MIT + file LICENSE	direct_startup	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
ids	1.0.1	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
igraph	2.3.3	Repository	CRAN	GPL (>= 2)	optional_or_fallback	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
isoband	0.3.0	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
jquerylib	0.1.4	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
jsonlite	2.0.0	Repository	CRAN	MIT + file LICENSE	direct_support	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
juicyjuice	0.1.0	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
knitr	1.51	Repository	CRAN	GPL	transitive	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. GPL version is unspecified in DESCRIPTION; inspect the complete upstream license materials before any redistribution.
labeling	0.4.3	Repository	CRAN	MIT + file LICENSE | Unlimited	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
later	1.4.8	Repository	CRAN	MIT + file LICENSE	direct_support	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
lazyeval	0.2.3	Repository	CRAN	GPL-3	transitive	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
lifecycle	1.0.5	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
litedown	0.9	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
lme4	2.0-1	Repository	CRAN	GPL (>= 2)	optional_or_fallback	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
magrittr	2.0.5	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
markdown	2.0	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
memoise	2.0.1	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
mime	0.13	Repository	CRAN	GPL	transitive	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. GPL version is unspecified in DESCRIPTION; inspect the complete upstream license materials before any redistribution.
minpack.lm	1.2-4	Repository	CRAN	GPL-3	optional_or_fallback	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
minqa	1.2.8	Repository	CRAN	GPL-2	transitive	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
mirai	2.7.1	Repository	CRAN	MIT + file LICENSE	optional_or_fallback	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
nanonext	1.10.1	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
nloptr	2.2.1	Repository	CRAN	LGPL (>= 3)	transitive	NO	DRAFT_KEEP_EXTERNAL_LIBRARY_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Library-copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, relinking, and source duties before any redistribution.
openssl	2.4.2	Repository	CRAN	MIT + file LICENSE	optional_or_fallback	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
otel	0.2.0	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
patchwork	1.3.2	Repository	CRAN	MIT + file LICENSE	optional_or_fallback	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
pdftools	3.9.0	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
pillar	1.11.1	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
pkgconfig	2.0.3	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
plotly	4.12.0	Repository	CRAN	MIT + file LICENSE	optional_or_fallback	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
polyclip	1.10-7	Repository	CRAN	BSL	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
prettyunits	1.2.0	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
processx	3.9.0	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
progress	1.2.3	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
promises	1.5.0	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
ps	1.9.3	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
purrr	1.2.2	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
qpdf	1.4.1	Repository	CRAN	Apache License 2.0	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
rappdirs	0.3.4	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
rbibutils	2.4.1	Repository	CRAN	GPL-2	transitive	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
reactR	0.6.1	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
reactable	0.4.5	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
readxl	1.5.0	Repository	CRAN	MIT + file LICENSE	direct_startup	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
reformulas	0.4.4	Repository	CRAN	GPL-3	transitive	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
rematch	2.0.0	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
rematch2	2.1.2	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
renv	1.2.3	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
rlang	1.3.0	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
