"section"	"setting"	"value"	"unit"	"role"	"source_locator"	"evidence_status"	"note"	"release_version"	"pasa_r_sha256"	"deconvolution_module_sha256"	"registry_status"
"Similarity"	"minimum_joint_coverage_fraction"	"0.5"	"fraction"	"refusal threshold"	"PASA.R: compute_similarity()/SIM_MIN_COVER_FRAC"	"static-source-verified"	"Below this jointly covered span metrics are withheld."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Similarity"	"coverage_gap_floor"	"3"	"nm"	"operational limit"	"PASA.R: AUC_MAX_GAP_NM"	"source-evaluated"	"Starting floor for adaptive measured-coverage guards."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Similarity"	"coverage_step_multiplier"	"1.25"	"x modal native step"	"operational limit"	"PASA.R: RESAMPLE_BIN_TOL"	"source-evaluated"	"Used in adaptive coverage-gap construction."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Similarity"	"coverage_mask_absolute_gap_max"	"25"	"nm"	"hard limit"	"PASA.R: COVERAGE_ABS_MAX_GAP_NM"	"source-evaluated"	"Caps sparse-grid interpolation support in the measured-coverage mask."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Similarity"	"tier_1"	"r >= 0.995 and SAM <= 2"	"r; degrees"	"development threshold"	"PASA.R: compute_similarity()"	"static-source-verified"	"Descriptive operational label; not a validated acceptance threshold."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Similarity"	"tier_2"	"r >= 0.99 and SAM <= 4"	"r; degrees"	"development threshold"	"PASA.R: compute_similarity()"	"static-source-verified"	"Applied only when tier 1 is not met."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Similarity"	"tier_3"	"r >= 0.95 and SAM <= 10"	"r; degrees"	"development threshold"	"PASA.R: compute_similarity()"	"static-source-verified"	"Otherwise the fourth/lower-similarity label is used."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Similarity"	"roughness_gate"	"1"	"ratio"	"development threshold"	"PASA.R: SIM_ROUGHNESS_MAX"	"source-evaluated"	"Advisory signal-evaluability gate."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Similarity"	"minimum_dynamic_range"	"0.000001"	"entered units"	"development threshold"	"PASA.R: SIM_MIN_DYNRANGE"	"source-evaluated"	"Flat/below-floor traces are withheld."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Similarity"	"minimum_feature_to_noise"	"20"	"ratio"	"development threshold"	"PASA.R: SIM_MIN_SNR"	"source-evaluated"	"Consulted after the roughness gate."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Similarity"	"default_trace_budget"	"200"	"traces"	"default"	"PASA.R: .SIM_BUDGET_TRACE_STOPS/.sim_budget_default_index()"	"source-evaluated"	"All-pairs work above this requires explicit authorization."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Similarity"	"hard_trace_ceiling"	"1600"	"traces"	"hard limit"	"PASA.R: .SIM_TRACE_HARD_MAX"	"source-evaluated"	"Applies even to the consented no-limit setting."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Similarity"	"ui_pair_projection_limit"	"780"	"pairs"	"presentation limit"	"PASA.R: .SIM_UI_PAIR_LIMIT"	"source-evaluated"	"Caps the lossy interactive table/network projection; canonical exports retain every computed pair."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Similarity"	"second_derivative_span"	"15"	"nm"	"advisory parameter"	"PASA.R: compute_similarity()/SIM_D2_SPAN_NM"	"static-source-verified"	"Wavelength span used by the advisory second-derivative similarity metric."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"advanced_mode_default"	"false"	"logical"	"default"	"PASA.R: snapshot factory defaults"	"source-evaluated"	"Deconvolution tab is absent until Advanced Mode is enabled."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"search_depth_default"	"tested"	"text"	"default"	"PASA.R: snapshot factory defaults"	"source-evaluated"	"Tested range is the default depth."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"k_min_default"	"1"	"components"	"default"	"PASA.R: snapshot factory defaults"	"source-evaluated"	"Lower bound of the component-count sweep."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"k_max_default"	"4"	"components"	"default"	"PASA.R: snapshot factory defaults"	"source-evaluated"	"Matches the upper K exercised by the separately distributed recovery study."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"packaged_recovery_tested_K"	"1-4"	"components"	"tested range"	"docs/RECOVERY_EVIDENCE_SCOPE.md"	"study-scope declaration"	"The original study evidence is distributed separately; this package records its reported K=1-4 scope, not a new validation."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"advanced_opt_in_k_max"	"20"	"components"	"advanced hard limit"	"PASA.R: .decon_depth_cap()"	"source-evaluated"	"K > 4 is an uncharacterized sensitivity analysis."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"criterion_default"	"BIC-like plug-in score"	"text"	"default"	"PASA.R: snapshot factory defaults"	"source-evaluated"	"Not a classical likelihood-based information criterion."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"mu_tolerance_default"	"8"	"nm"	"default"	"PASA.R: snapshot factory defaults"	"source-evaluated"	"Configurable center displacement from each seed."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"fwhm_min_default_complexes"	"8"	"nm"	"default"	"PASA.R: DECON_CLASS_PRESETS$complexes"	"source-evaluated"	"Configurable development preset."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"fwhm_max_default_complexes"	"50"	"nm"	"default"	"PASA.R: DECON_CLASS_PRESETS$complexes"	"source-evaluated"	"Configurable development preset."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"seed_window_default"	"15"	"nm"	"default"	"PASA.R: snapshot factory defaults"	"source-evaluated"	"Converted to an odd node window for derivative seeding."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"seed_minimum_separation"	"6"	"nm"	"development threshold"	"deconvolution_module.R: seed_peaks()"	"source-evaluated"	"Also supplies the split-guard floor when local SEs are unavailable."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"seed_prominence_fraction"	"0.02"	"fraction"	"development threshold"	"deconvolution_module.R: seed_peaks()"	"source-evaluated"	"Relative to the strongest second-derivative candidate."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"multistart_candidate_starts_per_K"	"4"	"starts"	"algorithm design"	"deconvolution_module.R: deconvolve_spectrum()"	"static-source-verified"	"Initial derivative seeds, evenly spaced centers, 0.6x FWHM, and 1.6x FWHM."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"bootstrap_default"	"false"	"logical"	"default"	"PASA.R: snapshot factory defaults"	"source-evaluated"	"Off unless explicitly requested."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"bootstrap_resamples_when_enabled"	"80"	"resamples"	"default"	"PASA.R: decon fit request"	"static-source-verified"	"K-stability heuristic, not a confidence statement."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"bootstrap_seed"	"1"	"integer"	"default"	"deconvolution_module.R: deconvolve_spectrum()"	"source-evaluated"	"Each resample uses seed plus resample index."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"bootstrap_block_length"	"max(4, round(n^(1/3)))"	"nodes"	"algorithm design"	"deconvolution_module.R: deconvolve_spectrum()"	"static-source-verified"	"Moving-block residual bootstrap."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"minimum_points_per_component"	"8"	"points/component"	"feasibility limit"	"deconvolution_module.R: DECON_MIN_PTS_PER_COMP"	"source-evaluated"	"Combined with the residual degrees-of-freedom margin."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"residual_df_margin"	"4"	"points"	"feasibility limit"	"deconvolution_module.R: DECON_RESID_DF_MARGIN"	"source-evaluated"	"Enforces 3K+1 <= n-margin."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Deconvolution"	"shape_mixing_parameter"	"one eta shared by all components"	"text"	"model constraint"	"deconvolution_module.R: fit_pvoigt()"	"static-source-verified"	"The fitted model has 3K+1 curve parameters."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Cell Growth"	"minimum_R2"	"0.98"	"R2"	"development threshold"	"PASA.R: GROWTH_CONST$min_r2"	"source-evaluated"	"Operational high-consistency and fallback screen."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Cell Growth"	"minimum_points_high_consistency"	"4"	"points"	"minimum"	"PASA.R: GROWTH_CONST$min_window_pts_highconsistency"	"source-evaluated"	"Includes curvature screen."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Cell Growth"	"minimum_points_fallback"	"3"	"points"	"minimum"	"PASA.R: GROWTH_CONST$min_window_pts_fallback"	"source-evaluated"	"Preliminary tier when high-consistency selection fails."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Cell Growth"	"maximum_interval_mu_CV"	"0.35"	"fraction"	"development threshold"	"PASA.R: GROWTH_CONST$max_interval_mu_cv"	"source-evaluated"	"Applied when at least three intervals exist."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Cell Growth"	"slope_p_alpha"	"0.005"	"p-value"	"development threshold"	"PASA.R: GROWTH_CONST$slope_alpha"	"source-evaluated"	"Post-selection operational filter, not an unqualified significance test."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Cell Growth"	"curvature_p_alpha"	"0.05"	"p-value"	"development threshold"	"PASA.R: GROWTH_CONST$curvature_alpha"	"source-evaluated"	"A finite p below this rejects the high-consistency tier."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Cell Growth"	"minimum_total_log_OD_rise"	"0.000000001"	"log OD"	"numerical floor"	"PASA.R: GROWTH_MIN_LOG_RISE"	"source-evaluated"	"Not a biological growth/no-growth threshold."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Cell Growth"	"minimum_replicates_for_t_interval"	"3"	"replicates"	"minimum"	"PASA.R: GROWTH_CONST$minimum_replicates_for_ci"	"source-evaluated"	"Conditional post-selection sensitivity interval."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Cell Growth"	"t_interval_level"	"0.95"	"fraction"	"default"	"PASA.R: GROWTH_CONST$ci_level"	"source-evaluated"	"Not calibrated for window-selection uncertainty."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Cell Growth"	"minimum_biological_units"	"5"	"biological units"	"reporting threshold"	"PASA.R: GROWTH_CONST$min_biological_units"	"source-evaluated"	"Operational reporting guidance."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Cell Growth"	"bootstrap_default"	"false"	"logical"	"default"	"PASA.R: snapshot factory defaults"	"source-evaluated"	"Off unless explicitly requested."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Cell Growth"	"bootstrap_max_resamples"	"200"	"resamples"	"hard limit"	"PASA.R: GROWTH_BOOT_MAX"	"static-source-verified"	"Interactive cap."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Cell Growth"	"bootstrap_minimum_successes"	"100"	"successful resamples"	"minimum"	"PASA.R: GROWTH_CONST$boot_min_success"	"source-evaluated"	"Below this no percentile interval is reported."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Network and privacy"	"feedback_default"	"true"	"logical"	"default"	"PASA.R: .pasa_feedback_config()"	"source-evaluated with empty environment"	"The bundled PASA Google Form is the default destination; PASA_FEEDBACK_ENABLED=0 disables it, and an incomplete custom endpoint disables direct submission rather than falling back. Sending needs an explicit click and acknowledgment; only rating, comment, UTC timestamp, and app version are sent."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Network and privacy"	"feedback_endpoint_default"	"bundled PASA Google Form (docs.google.com)"	"URL"	"default"	"PASA.R: .pasa_feedback_config()"	"source-evaluated with empty environment"	"PASA_FEEDBACK_FORM_URL replaces it; a custom HTTPS endpoint needs complete explicit configuration."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Network and privacy"	"feedback_field_mapping_default"	"bundled form entries for rating, comment, timestamp, and version"	"text"	"default"	"PASA.R: .pasa_feedback_config()"	"source-evaluated with empty environment"	"A custom endpoint must supply unique identifiers for the four sent fields; the legacy location field is not sent."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Network and privacy"	"feedback_controller_default"	"PASA developer (Arman Pazuki)"	"text"	"default"	"PASA.R: .pasa_feedback_config()"	"source-evaluated with empty environment"	"Named for the bundled form; a custom endpoint requires an explicit controller name."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Network and privacy"	"feedback_privacy_url_default"	"https://policies.google.com/privacy"	"URL"	"default"	"PASA.R: .pasa_feedback_config()"	"source-evaluated with empty environment"	"Google's privacy information for the bundled form; a custom endpoint requires an explicit HTTPS privacy/deletion URL."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
