path	bytes	component	license_scope
reproducibility/HOSTED_DEPLOYMENT.md	1317	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
reproducibility/INSTALL_DEPENDENCIES.R	3888	author-created software/configuration	MIT
reproducibility/INSTALLATION.md	2153	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
reproducibility/LAUNCH_INSTRUCTIONS.md	751	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
reproducibility/LAUNCH_PASA.ps1	2239	author-created software/configuration	MIT
reproducibility/LOAD_LOCKED_ENVIRONMENT.R	6192	author-created software/configuration	MIT
reproducibility/PASA_DEFAULTS_AND_LIMITS.tsv	40974	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
reproducibility/R_PACKAGE_REQUIREMENTS.md	10509	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
reproducibility/README.md	782	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
reproducibility/renv.lock	24451	dependency metadata	Upstream notices
reproducibility/RUN_PASA.R	2853	author-created software/configuration	MIT
reproducibility/SOURCE_CHECKSUMS.tsv	4523	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
reproducibility/VERIFY_ENVIRONMENT.R	6249	author-created software/configuration	MIT
SECURITY.md	1255	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
source_snapshot/app.R	3932	author-created software/configuration	MIT
source_snapshot/data/CIE_1931_2deg_380_780_10nm.csv	1057	adapted CIE table	CC-BY-SA-4.0
source_snapshot/data/CIE_D65_380_780_10nm.csv	450	adapted CIE table	CC-BY-SA-4.0
source_snapshot/data/CIE_DATA_NOTICE.md	4628	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
source_snapshot/deconvolution_module.R	74999	author-created software/configuration	MIT
source_snapshot/PASA.R	1368057	author-created software/configuration	MIT
source_snapshot/pasa_cuvettes.R	6897	author-created software/configuration	MIT
source_snapshot/pasa_io.R	7231	author-created software/configuration	MIT
source_snapshot/pasa_onboarding.R	9020	author-created software/configuration	MIT
source_snapshot/pasa_shell.R	4817	author-created software/configuration	MIT
source_snapshot/pasa_welcome.R	2287	author-created software/configuration	MIT
source_snapshot/README_RELEASE.md	788	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
source_snapshot/renv.lock	24451	dependency metadata	Upstream notices
source_snapshot/www/pasa-cuvette-bench-light.png	1335443	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
source_snapshot/www/pasa-cuvette-bench.png	1510183	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
source_snapshot/www/pasa-cuvette-bench.rds	1768156	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
source_snapshot/www/pasa-cuvette-photo-light.png	1414972	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
source_snapshot/www/pasa-cuvette-photo-light.rds	3063548	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
source_snapshot/www/pasa-cuvette-photo.png	1438792	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
source_snapshot/www/pasa-cuvette-photo.rds	3363560	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
source_snapshot/www/pasa-metrics-scroll.css	3425	author-created software/configuration	MIT
source_snapshot/www/pasa-metrics-scroll.js	9483	author-created software/configuration	MIT
source_snapshot/www/pasa-shell.css	18235	author-created software/configuration	MIT
source_snapshot/www/pasa-shell.js	10508	author-created software/configuration	MIT
source_snapshot/www/pasa-tour-details.js	50313	author-created software/configuration	MIT
source_snapshot/www/pasa-tour-workspace.js	55094	author-created software/configuration	MIT
source_snapshot/www/pasa-tour.css	4462	author-created software/configuration	MIT
source_snapshot/www/pasa-tour.js	26366	author-created software/configuration	MIT
source_snapshot/www/pasa-welcome-scene.svg	3155	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
source_snapshot/www/pasa-welcome-scene.webp	91456	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
source_snapshot/www/pasa-welcome.css	1435	author-created software/configuration	MIT
source_snapshot/www/pasa-welcome.js	6145	author-created software/configuration	MIT
source_snapshot/www/PASA_CUVETTE_ASSET.md	4697	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
START_PASA.cmd	1076	author-created software/configuration	MIT
START_PASA.R	602	author-created software/configuration	MIT
THIRD_PARTY_NOTICES.md	3461	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
validation/release/browser/package-lock.json	1761	dependency metadata	Upstream notices
validation/release/browser/package.json	218	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
validation/release/browser/smoke.cjs	8371	author-created software/configuration	MIT
validation/release/SMOKE_RELEASE.R	18714	author-created software/configuration	MIT
